experiment_id,regime,target,model,method,cell,status_scope,archived_raw_value,reconstructed_value,reported_manuscript_value,status_flags,source_reference,discrepancy_description,release_treatment
a-diagnosis-llama2-baseline,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,Baseline,R-QA,experiment,"{""baseline_raw_score"":0.5263157894736842,""formula"":""regime_a_generation_retain"",""method_raw_score"":0.5263157894736842}",100.00,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-baseline,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,Baseline,R-Cloze,experiment,"{""baseline_raw_score"":0.5175438596491229,""formula"":""regime_a_generation_retain"",""method_raw_score"":0.5175438596491229}",100.00,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-baseline,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,Baseline,R-BG,experiment,"{""baseline_raw_score"":0.2543859649122807,""formula"":""regime_a_generation_retain"",""method_raw_score"":0.2543859649122807}",100.00,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-baseline,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,Baseline,F-QA,experiment,"{""baseline_raw_score"":0.23076923076923078,""formula"":""regime_a_generation_forget"",""method_raw_score"":0.23076923076923078}",0.00,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-baseline,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,Baseline,F-Cloze,experiment,"{""baseline_raw_score"":0.09615384615384616,""formula"":""regime_a_generation_forget"",""method_raw_score"":0.09615384615384616}",0.00,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-baseline,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,Baseline,F-BG,experiment,"{""baseline_raw_score"":0.1346153846153846,""formula"":""regime_a_generation_forget"",""method_raw_score"":0.1346153846153846}",0.00,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-baseline,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,Baseline,R-ATT,experiment,"{""baseline_raw_accuracy"":0.39473684210526316,""baseline_success_count"":90,""dataset_count"":228,""exact_pvalue"":1.0659724714050165e-06,""formula"":""regime_a_mcq_retain"",""method_raw_accuracy"":0.39473684210526316,""significant"":true}",100.00,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""dataset_inventory"":""results/paper/mcq_dataset_inventory.json"",""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-baseline,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,Baseline,R-IDeq,experiment,"{""baseline_raw_accuracy"":0.2894736842105263,""baseline_success_count"":33,""dataset_count"":114,""exact_pvalue"":0.1921917142569755,""formula"":""regime_a_mcq_retain"",""method_raw_accuracy"":0.2894736842105263,""significant"":false}",Р,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""dataset_inventory"":""results/paper/mcq_dataset_inventory.json"",""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-baseline,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,Baseline,R-ID,experiment,"{""baseline_raw_accuracy"":0.34210526315789475,""baseline_success_count"":39,""dataset_count"":114,""exact_pvalue"":0.01751824612381921,""formula"":""regime_a_mcq_retain"",""method_raw_accuracy"":0.34210526315789475,""significant"":true}",100.00,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""dataset_inventory"":""results/paper/mcq_dataset_inventory.json"",""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-baseline,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,Baseline,F-ATT,experiment,"{""baseline_raw_accuracy"":0.5098039215686274,""baseline_success_count"":26,""dataset_count"":51,""exact_pvalue"":5.914449162540314e-05,""formula"":""regime_a_mcq_forget"",""method_raw_accuracy"":0.5098039215686274,""significant"":true}",0.00,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""dataset_inventory"":""results/paper/mcq_dataset_inventory.json"",""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""]}",,preserve archived evidence and status
